day_reordered,temp,dewp,prcp,fog,NUM_COLLISIONS,NUM_COLLISIONS_norm
3,64.3,58.3,0,0,718,0.823394495412844
3,36.4,25.6,0,0,394,0.4518348623853211
3,55.2,41.1,0,0,623,0.7144495412844036
3,38.8,23.3,0.07,0,684,0.7844036697247706
3,48.4,36.3,0,0,488,0.5596330275229358
3,37.4,32,0.35,0,617,0.7075688073394495
3,41.8,31.7,0.07,0,615,0.7052752293577982
3,33.5,21.2,0.02,0,658,0.7545871559633027
3,54,40.6,0.01,0,646,0.7408256880733946
3,36.8,26.1,0,0,571,0.6548165137614679
3,50.8,31.4,0,0,742,0.8509174311926605
3,33.5,24,0,0,513,0.4418604651162791
3,27.3,20.3,0,1,440,0.3789836347975883
3,55.7,42.6,0,0,639,0.5503875968992248
3,66.3,59.2,0.01,1,604,0.5202411714039621
3,38.6,31.2,0.01,0,568,0.4892334194659776
3,62.1,50.3,0,0,644,0.5546942291128337
3,63.3,56.5,0,0,549,0.4728682170542636
3,49.5,40.8,0,0,612,0.6368366285119667
3,55.9,52.8,0,0,691,0.7190426638917794
3,58.6,52.1,0,0,597,0.6212278876170656
3,54,41.2,0,0,618,0.6430801248699272
3,45,38.2,0,0,554,0.5764828303850156
3,64.3,59.4,0.11,1,662,0.6888657648283039
3,58.3,49.4,0,0,613,0.6378772112382934
3,69.2,64.4,0,0,598,0.6222684703433923
3,52.2,47.2,0,0,641,0.6670135275754423
3,27.2,1.4,0,0,586,0.6097814776274714
3,33.4,27.2,0.36,0,650,0.676378772112383
3,45.1,41.4,0.02,1,658,0.7545871559633027
3,37.9,30.9,0,0,791,0.9071100917431193
3,47.6,43.1,0,0,716,0.8211009174311926
3,71.3,61.3,0,0,632,0.7247706422018348
3,61.4,55.9,0,0,745,0.8543577981651376
3,54.4,44.6,0,0,668,0.7660550458715596
3,64,59.8,0,0,419,0.4805045871559633
3,68.4,62.6,0,0,488,0.5596330275229358
3,49.5,35.9,0,0,687,0.7878440366972477
3,71.5,68.8,0,0,698,0.8004587155963303
3,56.6,54.5,0,0,656,0.6566566566566566
3,63.6,53.9,0,0,735,0.7357357357357357
3,70.9,66.1,0,1,617,0.6176176176176176
3,40.9,34.4,0,0,667,0.6676676676676677
3,66,58.9,0,0,804,0.8048048048048048
3,39.1,25.5,0,0,540,0.5405405405405406
3,40.5,24.6,0.18,0,748,0.7487487487487487
3,46.2,45.3,0,1,594,0.7397260273972602
3,52,51.1,0.03,1,657,0.8181818181818182
3,57.2,55,0,1,689,0.8580323785803238
3,38.7,25.2,0.63,0,700,0.8717310087173101
3,52.1,51.5,0.03,1,522,0.6500622665006227
3,76.5,70.8,0,0,641,0.7982565379825654
3,56.3,48.8,0,0,435,0.5417185554171855
3,73.3,72.1,0,1,563,0.701120797011208
3,41.7,38.1,0.46,1,645,0.8032378580323786
3,46.1,39.5,0.68,0,613,0.763387297633873
3,70.2,62.3,0,0,616,0.7671232876712328
3,51.5,43.4,0,0,481,0.5990037359900373
3,27.4,11.7,0,0,584,0.7272727272727273
3,68.2,65.5,0.04,1,589,0.5073212747631353
3,46.3,45.1,0.04,1,518,0.446167097329888
3,35.4,24.7,0.67,0,579,0.49870801033591733
3,65.9,63.2,0.02,0,566,0.48751076658053405
3,43.1,36.9,0,0,521,0.4487510766580534
3,50.9,43.2,0,0,451,0.38845822566752797
3,52.2,47.8,0,0,514,0.4427217915590009
3,71.5,69.2,0.14,0,392,0.3376399655469423
3,28.9,18.8,0,0,678,0.5839793281653747
3,28.5,12.1,0,0,519,0.4470284237726098
3,56.7,51.1,0,0,433,0.37295434969853575
3,56.9,41.8,0,0,572,0.4926787252368648
3,63.6,55.3,0.01,0,598,0.5150732127476314
3,57.4,46.6,0,0,643,0.553832902670112
3,44.6,20.6,0.66,0,625,0.5383290267011197
3,38.8,32.3,0,0,511,0.4401378122308355
3,67.3,61.6,0.01,0,610,0.5254091300602929
3,65.9,63.3,0.4,0,557,0.4797588285960379
3,61.2,57,0,1,528,0.45478036175710596
3,42.9,37.4,0,0,566,0.48751076658053405
3,37.8,31.6,0,0,720,0.6201550387596899
3,53.2,49,0,0,644,0.5546942291128337
3,41,27.9,0,0,360,0.31007751937984496
3,27.4,8,0,0,547,0.47114556416882
3,54.1,40.5,0,0,642,0.5529715762273901
3,24.3,8.9,0,0,491,0.42291128337639966
3,54.8,52.5,0,0,722,0.6218776916451335
3,37.5,25.8,0.09,0,569,0.4900947459086994
3,67.9,57.7,0,0,595,0.512489233419466
3,60.4,51,0,0,659,0.8206724782067247
3,66.9,59.9,0.21,0,693,0.863013698630137
3,59.4,53.6,0,0,613,0.763387297633873
3,68.5,57.6,0,0,731,0.9103362391033624
3,63.9,58.4,0,0,603,0.75093399750934
3,32.8,22.5,0,0,703,0.8754669987546699
3,65.4,58.5,0,0,620,0.772104607721046
3,62.1,54.7,0,0,442,0.5504358655043586
3,68.2,63.2,0,0,519,0.5986159169550173
3,50.7,33,0,0,620,0.7151095732410612
3,69.2,67.1,0.02,0,597,0.6885813148788927
3,42,26,0,0,658,0.7589388696655133
3,68.3,65.9,0.17,1,591,0.6816608996539792
3,66.8,64.5,0,1,680,0.7843137254901961
3,36.5,22.1,0.07,0,683,0.783256880733945
3,48.3,41.9,0.49,0,655,0.7511467889908257
3,54.1,43.8,3.76,0,539,0.6181192660550459
3,18.6,7,0,0,291,0.33371559633027525
3,47.8,40.9,0,0,616,0.7064220183486238
3,39.5,26.7,0,0,647,0.7419724770642202
3,64.5,59,0,0,585,0.6708715596330275
3,40.5,26.7,0,0,611,0.63579604578564
3,71.7,69.2,0,1,575,0.5983350676378772
3,59.6,51.8,0,0,634,0.659729448491155
3,60.2,55.1,0,0,505,0.5254942767950052
3,52.3,39.8,0,0,698,0.7263267429760666
3,67.6,57.8,0,0,579,0.6024973985431842
3,53.9,48.8,0,1,566,0.5889698231009365
3,36.8,28.3,0,0,556,0.578563995837669
3,52.6,48.2,0,1,637,0.6628511966701353
3,40.9,35.6,0,1,580,0.603537981269511
3,57.7,55.9,0.25,1,400,0.49813200498132004
3,32.8,30.3,0.17,0,406,0.5056039850560399
3,37.9,34,1.22,0,503,0.6264009962640099
3,48.4,44.7,0.07,0,743,0.925280199252802
3,41.8,26.6,0.07,0,602,0.7496886674968867
3,13.7,6.3,1.5,0,412,0.5130759651307597
3,39.7,36.7,0,0,651,0.8107098381070984
3,35.7,27.3,0,0,565,0.7036114570361146
3,42.5,32.5,0,0,526,0.6550435865504358
3,47.8,34.7,0.24,0,565,0.7036114570361146
3,64.9,60.9,0,0,427,0.5317559153175592
3,64.7,64.5,0.11,1,819,0.8198198198198198
3,41.1,35.3,0.2,0,333,0.3333333333333333
3,64.2,63.7,0,1,726,0.7267267267267268
3,66.3,66.2,0.02,0,546,0.5465465465465466
3,59.5,58.7,0,1,669,0.6696696696696697
3,40.9,35.1,0,0,684,0.6846846846846847
3,31.6,20.7,0,0,477,0.4774774774774775
3,62.7,56.4,0,0,584,0.5845845845845846
3,41.9,29.5,0,0,428,0.42842842842842843
3,65.7,65.5,0,1,672,0.6726726726726727
3,65.4,62.2,0.16,0,532,0.5325325325325325
3,32.9,18.5,0.01,0,529,0.5504682622268471
3,10.7,-4.6,0,0,402,0.4183142559833507
3,50.8,45.5,0,0,668,0.6951092611862643
3,74,68.2,0,0,705,0.7336108220603538
3,70.9,64.9,0,0,668,0.6951092611862643
3,73,66.9,0,0,485,0.5046826222684704
3,40.9,30,0.1,0,490,0.5098855359001041
3,45.2,40.7,0,0,630,0.6555671175858481
3,33.1,27.4,0,1,680,0.7075962539021852
3,47.1,30.4,0.01,0,456,0.5259515570934256
3,54.4,41.1,0,0,616,0.7104959630911188
3,27.3,10.8,0,0,507,0.5847750865051903
3,65.5,60.8,0.39,0,462,0.532871972318339
3,57.5,54.5,0.33,1,658,0.7589388696655133
3,65.7,62.3,0,0,618,0.71280276816609
3,49.2,43.4,0,1,561,0.6470588235294118
3,53.1,37.1,0.07,0,577,0.6655132641291811
3,48.7,47.5,0,1,707,0.8154555940023068
3,40.8,36.3,0.13,0,639,0.7370242214532872
3,39.9,34.7,0,0,522,0.6020761245674741
3,62.2,56.1,0,0,624,0.7197231833910035
3,42.5,36.9,0.75,0,476,0.5490196078431373
3,43,29.8,0,0,565,0.6516724336793541
3,76.3,71.2,0,0,581,0.6701268742791234
3,37,26.4,0,0,597,0.6885813148788927
3,68.3,64.1,0,0,521,0.6009227220299884
3,59.8,42.5,0,0,632,0.7289504036908881
3,38.1,29.8,0,0,498,0.5743944636678201
3,47.2,47.1,0,1,542,0.6251441753171857
3,55.9,53.7,0.23,1,611,0.7047289504036909
3,46.1,34.2,0,0,603,0.6955017301038062
3,43.6,40.4,0.16,0,665,0.7626146788990825
3,62.9,61.1,1.79,1,758,0.8692660550458715
3,71,68.8,0,0,680,0.7798165137614679
3,61.5,47.2,0,0,646,0.7408256880733946
3,38.2,27.4,0,0,601,0.6892201834862385
3,59.4,50.3,0.03,0,652,0.7477064220183486
3,62.4,60.5,0.01,1,471,0.5401376146788991
3,71.1,69,0,1,725,0.8314220183486238
3,77.5,69.4,0,0,643,0.7373853211009175
3,66,60.9,0,1,552,0.6874221668742216
3,56,52.3,1.67,1,607,0.7559153175591532
3,45.4,36.5,0.4,0,641,0.7982565379825654
3,55.2,52,0.2,0,559,0.6961394769613948
3,48.1,30,0,0,623,0.775840597758406
3,64.3,57.8,0,0,494,0.6151930261519303
3,34.5,15.3,0,0,575,0.7160647571606475
3,64.9,56.7,0,0,592,0.7372353673723536
3,30.7,14.4,0,0,568,0.7073474470734745
3,73.4,69.9,0,1,727,0.7565036420395421
3,44,32.1,0.27,0,498,0.518210197710718
3,66.9,60.8,0,1,611,0.63579604578564
3,31.2,20.9,0,0,484,0.5036420395421436
3,71.1,66.5,0,0,626,0.6514047866805411
3,29.4,19.6,0.25,1,574,0.5972944849115505
