"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,32.6,22.7,0,0,250,0.28515625
"65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,50.9,43.1,0,0,320,0.55859375
"66",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,47.9,33.5,0.04,0,302,0.48828125
"67",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2021,51.4,39.6,0.02,0,343,0.6484375
"68",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,72.4,68.1,0,0,339,0.6328125
"69",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,70.1,66.8,0,0,249,0.412121212121212
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2023,43.7,35.3,0,0,265,0.509090909090909
"71",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,52.8,44.3,0,0,283,0.618181818181818
"72",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2023,54.8,43.6,0,0,265,0.509090909090909
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,22.1,6.4,0,0,253,0.296875
"74",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,73.8,69.7,0,1,328,0.58984375
"75",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,52.6,45.8,0.01,0,345,0.65625
"76",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,42.9,34.5,0,0,194,0
"77",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,70.6,66.3,0,0,259,0.363128491620112
"78",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,72.7,68.6,0.03,0,294,0.558659217877095
"79",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,72.1,59.1,0.01,0,255,0.340782122905028
"80",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,39,29.6,0,0,269,0.418994413407821
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,43.5,43,0,0,224,0.18359375
"82",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,27.6,20.5,0.78,0,301,0.484375
"83",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,65,60.7,0,1,381,0.796875
"84",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2021,68.2,57,0.01,0,325,0.578125
"85",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,70.5,67.6,0,1,303,0.4921875
"86",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,74.9,70.4,0,1,359,0.7109375
"87",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,26.6,12.3,0,0,260,0.32421875
"88",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,72.4,63,0,0,325,0.578125
"89",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2023,55.9,49.1,0.61,0,286,0.636363636363636
"90",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2023,39.7,29.6,0,0,305,0.751515151515151
"91",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,71.3,70.2,0.57,1,311,0.787878787878788
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,49.9,36.9,1.02,0,300,0.48046875
"93",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,69.1,66.1,0,1,361,0.71875
"94",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2021,63,52.1,0,0,317,0.546875
"95",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2021,59.3,46.4,0.43,0,331,0.6015625
"96",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2023,61.1,55,0.03,0,261,0.484848484848485
"97",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2023,52.3,48.3,0.02,0,253,0.436363636363636
"98",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,44.6,39.2,0.02,1,232,0.309090909090909
"99",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2023,41.7,27.6,0,0,316,0.818181818181818
"100",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,63.6,57.7,0.14,0,322,0.56640625
"101",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,32.6,27.9,0,0,238,0.23828125
"102",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2021,72.2,68.9,0,0,299,0.4765625
"103",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,42.6,31,0,0,225,0.1875
"104",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2023,61.6,59.6,0.06,0,236,0.333333333333333
