"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"170",4,41.8,41.6,1.09,1,238,0.23828125
"171",4,36.2,19.8,0.6,0,258,0.357541899441341
"172",4,45.7,43.2,0.73,1,279,0.474860335195531
"173",4,76.6,70,0.23,0,276,0.458100558659218
"174",4,46.2,24.9,0,0,290,0.536312849162011
"175",4,62.7,57.9,0,0,307,0.631284916201117
"176",4,66.7,66.4,0,1,223,0.254545454545455
"177",4,49.1,38.4,0.01,0,274,0.563636363636364
"178",4,59.7,54.6,0.04,0,272,0.551515151515152
"179",4,53.8,49.9,0.03,0,273,0.557575757575758
"180",4,35.8,23.9,0,0,261,0.328125
"181",4,46.8,31.3,0.03,0,321,0.5625
"182",4,72.4,65.6,0,0,296,0.46484375
"183",4,52.6,36.4,0,0,276,0.38671875
"184",4,73.5,68.9,0,0,350,0.67578125
"185",4,62.5,60.9,0.17,0,279,0.474860335195531
"186",4,69,65.6,0.01,0,339,0.810055865921788
"187",4,49.7,45,0,0,318,0.692737430167598
"188",4,50,38.5,0,0,296,0.569832402234637
"189",4,68,66.1,0.02,1,295,0.564245810055866
"190",4,30.5,9,0,0,272,0.435754189944134
"191",4,41.6,31.8,0,0,235,0.229050279329609
"192",4,50.8,44.3,0,0,312,0.659217877094972
"193",4,58.9,53.5,0,1,278,0.46927374301676
"194",4,45.6,43.3,0,1,225,0.266666666666667
"195",4,40.5,25.3,0.1,0,229,0.290909090909091
"196",4,48.9,44.6,0,1,257,0.460606060606061
"197",4,52.7,37.5,0,0,298,0.709090909090909
"198",4,70.8,67.8,0,0,301,0.727272727272727
"199",4,38.1,18.4,0,0,273,0.557575757575758
"200",4,51.5,45.9,0.02,0,244,0.381818181818182
"201",4,57.3,51.1,0,0,286,0.636363636363636
"202",4,31.7,13.7,0,0,248,0.301675977653631
"203",4,69.7,65.2,0,0,283,0.497206703910615
"204",4,80.4,76.3,0,0,284,0.502793296089385
"205",4,51.3,45.7,0.56,0,282,0.491620111731844
"206",4,71.3,66,0,0,267,0.407821229050279
"207",4,51.7,50.3,0.7,1,345,0.65625
"208",4,42.7,42.7,0.02,1,213,0.140625
"209",4,69.3,65.1,0,1,313,0.53125
"210",4,74.8,71.6,0.13,0,293,0.553072625698324
"211",4,59.1,53.2,0.06,1,315,0.675977653631285
"212",4,68.9,64,0,0,228,0.189944134078212
"213",4,60.1,55.8,0.05,0,270,0.424581005586592
"214",4,69.9,65.8,0,0,288,0.525139664804469
"215",4,61.3,54.6,0,0,317,0.687150837988827
"216",4,44.9,42.6,0,1,244,0.279329608938547
"217",4,33.8,23.3,0,0,274,0.446927374301676
"218",4,37.7,25.7,0.01,0,302,0.603351955307263
"219",4,69.2,63.1,0,0,291,0.541899441340782
"220",4,48.7,32.1,0,0,306,0.625698324022346
"221",4,46.8,36.3,0,0,252,0.324022346368715
"222",4,51.7,44.7,0,1,237,0.339393939393939
"223",4,57.7,52.7,0,0,280,0.6
"224",4,66.5,65.8,1.16,0,272,0.551515151515152
"225",4,34.6,25.5,0,0,258,0.466666666666667
"226",4,58.3,52.1,0,0,374,0.76953125
"227",4,55.4,46.9,0,0,354,0.69140625
"228",4,66.3,63.4,0.19,1,298,0.47265625
"229",4,39.5,28,1.04,0,313,0.8
"230",4,47.9,41.2,0,0,209,0.16969696969697
"231",4,40.3,31.9,0.14,0,259,0.472727272727273
"232",4,59.2,53.2,0.46,0,355,0.6953125
"233",4,46.5,30,0,0,259,0.363128491620112
"234",4,22.2,5,0.02,0,257,0.35195530726257
"235",4,36.5,24.7,0,0,213,0.106145251396648
"236",4,51.1,45.3,0,0,283,0.4140625
"237",4,43.7,35.5,0,0,281,0.40625
"238",4,56.4,39.8,0.02,0,302,0.48828125
"239",4,64.6,60.4,0.39,0,323,0.5703125
"240",4,41.8,35.1,0,0,266,0.515151515151515
"241",4,51.6,42.2,0,0,270,0.539393939393939
"242",4,42.1,36.4,0.01,0,246,0.393939393939394
"243",4,76.5,71.8,0,0,332,0.60546875
"244",4,37.1,22.6,0,0,282,0.41015625
"245",4,34.8,31.2,0.02,0,228,0.284848484848485
