"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"1225",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2017,28.5,11.1,0,0,839,0.907756813417191
"1226",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2017,43.2,34,0,0,663,0.538784067085954
"1227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,68,60.8,0,0,639,0.488469601677149
"1228",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2017,58.9,56.1,0,0,746,0.712788259958071
"1229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,66.2,60.6,0.11,0,618,0.444444444444444
"1230",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,71.4,71,0,1,620,0.591517857142857
"1231",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2019,54.5,51.8,0.72,0,615,0.580357142857143
"1232",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2019,58.2,50,0.86,0,608,0.564732142857143
"1233",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2019,51.4,42.7,0,0,669,0.700892857142857
"1234",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,15.7,1.9,0,0,601,0.549107142857143
"1235",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,47.7,34.1,0,0,593,0.53125
"1236",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,69.5,61.4,0,0,605,0.558035714285714
"1237",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,52.5,45.6,0,0,722,0.819196428571429
"1238",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,69.6,66.7,0.04,1,539,0.435267857142857
"1239",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,26.3,14,0,0,558,0.477678571428571
"1240",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,61.1,47.4,0,0,650,0.683035714285714
"1241",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,70.4,63.7,0.01,1,587,0.542410714285714
"1242",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,40.8,39.3,0,0,521,0.395089285714286
"1243",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,41.7,37.6,0.4,1,628,0.633928571428571
"1244",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,52,43.4,0,0,596,0.5625
"1245",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,67.7,62.9,0.01,0,626,0.629464285714286
